UNIVERSITY_ID,COURSE,UNIVERSITY_GPA,HS_GPA,Programs,MAJOR,Transfer,FULL_TITLE,Year,Gender,Generation,Semester,Term,URM
b9b57578-c51b-4f5e-b039-0cc31da9341f,RA2,2.608079927,3.7,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
43df25f0-6ff9-4d4d-a4a1-884e403b37b8,RA2,1.933996662, ,Undergraduate,Major 4,New Transfer,Research Analytics Course Sample 2,Fourth,Male,Cont.Gen,Fall,Fall 2018,Non-URM
8f73c9d6-225c-4821-85b8-87701a06ac30,RA2,1.509767901,3.3,Undergraduate,Major 4,New First-Year,Research Analytics Course Sample 2,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
b2b430c3-b6b1-4a67-8193-4aeb44f15337,RA2,3.393538913,3.7,Undergraduate,Major 15,New First-Year,Research Analytics Course Sample 2,Second,Male,First.Gen,Fall,Fall 2018,Non-URM
530d0698-b07a-48e9-9854-df2b685b09f7,RA3,2.94353986,3.4,Undergraduate,Major 1,New Transfer,Research Analytics Course Sample 3,Third,Female,First.Gen,Fall,Fall 2018,Non-URM
38a94fb6-c5c4-451b-85b5-e44bc8219837,RA2,1.972244089,3.8,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Fourth,Male,Cont.Gen,Fall,Fall 2018,Non-URM
a3bdc87c-c9af-4c57-a67f-40811662a4a0,RA2,2.070636918,3.4,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 2,Fourth,Male,First.Gen,Fall,Fall 2018,URM
c1c7a36a-3390-4c2a-9fac-298ccde74a3a,RA2,2.526333498,3.5,Undergraduate,Major 16,New First-Year,Research Analytics Course Sample 2,Fourth,Male,Cont.Gen,Fall,Fall 2018,Non-URM
4a8e45e9-11da-4ed2-a6bf-10131c5dc7ec,RA2,2.38426564,3.8,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 2,Fourth,Male,First.Gen,Fall,Fall 2018,Non-URM
3e848e26-568c-4e3b-8079-d6856e674807,RA2,2.659323598,3.6,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
ba923a0c-60e2-4ab9-b051-a4074919b0a7,RA2,2.739228976,3.7,Undergraduate,Major 4,New First-Year,Research Analytics Course Sample 2,Third,Female,First.Gen,Fall,Fall 2018,Non-URM
2443ce8d-ca4d-4fca-8722-e264bd0b4229,RA2,1.889682334,3.4,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
d0bf7c27-92f4-4014-9df1-f3ef5876fd2a,RA1,3.144182044,3.8,Undergraduate,Major 45,New First-Year,Research Analytics Course Sample 1,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
7f1b4a81-39a3-4be6-8859-3e35dff52321,RA1,1.124738225,4,Undergraduate,Major 8,New First-Year,Research Analytics Course Sample 1,Second,Female,First.Gen,Fall,Fall 2018,Non-URM
d5f49bf5-99cb-4ade-87d3-2cf11130518f,RA1,2.505008036,3.4,Undergraduate,Major 5,New First-Year,Research Analytics Course Sample 1,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
c92860f1-7466-4a05-a2aa-9cb090a22c5e,RA1,3.654138609,3.9,Undergraduate,Major 31,New First-Year,Research Analytics Course Sample 1,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
c74647fe-e993-419e-89c8-5a1db7cd325c,RA1,1.96841705,3.6,Undergraduate,Major 5,New First-Year,Research Analytics Course Sample 1,Third,Male,Cont.Gen,Fall,Fall 2018,URM
325d9b1c-3599-4df8-9ddc-1184582921d5,RA2,2.697873921,3.9,Undergraduate,Major 18,New First-Year,Research Analytics Course Sample 2,Fourth,Male,Cont.Gen,Fall,Fall 2018,Non-URM
f928ca60-c2f9-41d5-b5cd-df690262d6ad,RA2,2.534874141,4,Undergraduate,Major 4,New First-Year,Research Analytics Course Sample 2,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
4573b972-cb8b-4179-909f-17493a0ca01a,RA2,2.904926745,3.7,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 2,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
ff1c1f03-6936-43f6-bab7-e39bb7c5fdfa,RA2,3.023706073,3.7,Undergraduate,Major 78,New First-Year,Research Analytics Course Sample 2,Fourth,Female,First.Gen,Fall,Fall 2018,Non-URM
8ba996c6-fc30-4da5-82c0-eb6eb90f8871,RA2,2.578821551,3.6,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 2,Third,Female,First.Gen,Fall,Fall 2018,Non-URM
4800d9b8-14e6-4abe-9062-2d3f805d10d2,RA3,2.313013724,2.9,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
b83f1b82-58d1-4c23-9ada-3fe86b3e5f29,RA2,1.446820249,3.4,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
1fffd108-0398-4198-aa30-2a29925218e8,RA2,2.120356696, ,Undergraduate,Major 15,New First-Year,Research Analytics Course Sample 2,UNCLASSIFIED,Female,Unknown,Fall,Fall 2018,Non-URM
510fae3c-d474-46f8-b4fe-e2efb4940a24,RA2,2.177905672, ,Undergraduate,Major 15,New Off-Campus,Research Analytics Course Sample 2,Second,Female,Unknown,Fall,Fall 2018,Non-URM
2f0c5769-27be-485f-bf09-30d13e350a37,RA2,2.760982693,3.7,Undergraduate,Major 13,New First-Year,Research Analytics Course Sample 2,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
83cd45c8-39d9-49b4-af9b-f6f5ece0cebd,RA2,2.27300864,3.6,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
de01f422-d5bf-43a1-9052-5222df820291,RA2,2.743075629,3.9,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
1047925f-a693-4e26-99a9-ff2f3f684f43,RA2,3.096241706,3.7,Undergraduate,Major 15,New First-Year,Research Analytics Course Sample 2,Second,Female,Cont.Gen,Fall,Fall 2018,Non-URM
